time_s,robot_id,robot_name,key,protocol,pwm_left,pwm_right,sonic_angle_deg,sonic_distance_cm,reason
0.0,r01,r01,e,"$0,0,0,0,0,0,0,0,0#",0,0,0,-1,init
0.0,r02,r02,e,"$0,0,0,0,0,0,0,0,0#",0,0,0,-1,init
0.0,r03,r03,e,"$0,0,0,0,0,0,0,0,0#",0,0,0,-1,init
0.0,r04,r04,e,"$0,0,0,0,0,0,0,0,0#",0,0,0,-1,init
0.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",6000,6000,0,-1,path_to_final_target
0.2,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",6000,6000,0,-1,path_to_final_target
0.2,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",6000,6000,0,-1,path_to_final_target
0.2,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",6000,6000,0,-1,path_to_final_target
0.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,0,-1,cached_path_to_final_target
0.4,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,0,-1,cached_path_to_final_target
0.4,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,0,-1,cached_path_to_final_target
0.4,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,0,-1,cached_path_to_final_target
0.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
0.6,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
0.6,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
0.6,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
0.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
0.8,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
0.8,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
0.8,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
1.0,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
1.0,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
1.0,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
1.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.2,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.2,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.2,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.4,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.4,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.4,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.6,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-5,402,cached_path_to_final_target
1.6,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.6,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,5,402,cached_path_to_final_target
1.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,0,-1,path_to_final_target
1.8,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,-5,395,path_to_final_target
1.8,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",17000,16000,0,-1,path_to_final_target
1.8,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",17000,16000,5,395,path_to_final_target
2.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,0,-1,cached_path_to_final_target
2.0,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,-6,389,cached_path_to_final_target
2.0,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",17000,16000,0,-1,cached_path_to_final_target
2.0,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",17000,16000,6,389,cached_path_to_final_target
2.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,0,-1,cached_path_to_final_target
2.2,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,-6,383,cached_path_to_final_target
2.2,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",17000,16000,0,-1,cached_path_to_final_target
