mission_id,mission_name,step,time_s,ts_ms,algorithm,completion_policy,robot_id,robot_name,powered,cluster_id,role,perception_mode,visible_obstacle_count,known_obstacle_count,primary_x_m,primary_y_m,primary_theta_rad,primary_v_mps,primary_omega_radps,primary_pwr_left,primary_pwr_right,primary_sonic_angle_deg,primary_sonic_distance_cm,primary_camera_pan_deg,primary_camera_tilt_deg,primary_tracking_bits,primary_led,primary_buz,control_cmd_vx_mps,control_cmd_vy_mps,control_cmd_v_mps,control_cmd_omega_radps,control_target_x_m,control_target_y_m,control_reason,tank_key_command,tank_protocol_command,tank_pwm_left,tank_pwm_right,tank_command_note,agent_path_length_m,agent_energy_proxy,agent_collision_events,agent_near_miss_events,agent_lane_violations,agent_min_obstacle_clearance_m,agent_min_robot_clearance_m,agent_goal_distance_m,group_centroid_x_m,group_centroid_y_m,group_centroid_to_goal_m,group_centroid_path_m,group_effective_centroid_length_m,group_formation_rms_m,group_formation_bad_pairs,group_min_clearance_m,group_collision_steps,group_lane_violations,group_total_energy_proxy,group_sum_agent_path_m,group_mean_instant_speed_mps,group_average_speed_mps,group_active_cluster_count,done,finish_reason
b326998ea4,formation_6_dynamic_popup,0,0.0,1784462000,completion_astar,finish_first,r01,r01,True,main,member,local,1,0,-0.18,-0.31177,0.0,0.0,0.0,0,0,-2,359,0,0,0000,---,False,0.0,0.0,0.0,0.0,11.82,-0.31177,init,e,"$0,0,0,0,0,0,0,0,0#",0,0,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.0,0.0,0,0,0,999.0,999.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0,999.0,0,0,0.0,0.0,0.0,0.0,1,False,running
b326998ea4,formation_6_dynamic_popup,0,0.0,1784462000,completion_astar,finish_first,r02,r02,True,main,member,local,1,0,0.18,-0.31177,0.0,0.0,0.0,0,0,-2,323,0,0,0000,---,False,0.0,0.0,0.0,0.0,12.18,-0.31177,init,e,"$0,0,0,0,0,0,0,0,0#",0,0,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.0,0.0,0,0,0,999.0,999.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0,999.0,0,0,0.0,0.0,0.0,0.0,1,False,running
b326998ea4,formation_6_dynamic_popup,0,0.0,1784462000,completion_astar,finish_first,r03,r03,True,main,member,local,1,0,0.36,0.0,0.0,0.0,0.0,0,0,-7,306,0,0,0000,---,False,0.0,0.0,0.0,0.0,12.36,0.0,init,e,"$0,0,0,0,0,0,0,0,0#",0,0,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.0,0.0,0,0,0,999.0,999.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0,999.0,0,0,0.0,0.0,0.0,0.0,1,False,running
b326998ea4,formation_6_dynamic_popup,0,0.0,1784462000,completion_astar,finish_first,r04,r04,True,main,member,local,1,0,0.18,0.31177,0.0,0.0,0.0,0,0,-12,327,0,0,0000,---,False,0.0,0.0,0.0,0.0,12.18,0.31177,init,e,"$0,0,0,0,0,0,0,0,0#",0,0,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.0,0.0,0,0,0,999.0,999.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0,999.0,0,0,0.0,0.0,0.0,0.0,1,False,running
b326998ea4,formation_6_dynamic_popup,0,0.0,1784462000,completion_astar,finish_first,r05,r05,True,main,member,local,1,0,-0.18,0.31177,0.0,0.0,0.0,0,0,-11,363,0,0,0000,---,False,0.0,0.0,0.0,0.0,11.82,0.31177,init,e,"$0,0,0,0,0,0,0,0,0#",0,0,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.0,0.0,0,0,0,999.0,999.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0,999.0,0,0,0.0,0.0,0.0,0.0,1,False,running
b326998ea4,formation_6_dynamic_popup,0,0.0,1784462000,completion_astar,finish_first,r06,r06,True,main,member,local,1,0,-0.36,0.0,0.0,0.0,0.0,0,0,-6,378,0,0,0000,---,False,0.0,0.0,0.0,0.0,11.64,0.0,init,e,"$0,0,0,0,0,0,0,0,0#",0,0,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.0,0.0,0,0,0,999.0,999.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0,999.0,0,0,0.0,0.0,0.0,0.0,1,False,running
b326998ea4,formation_6_dynamic_popup,1,0.2,1784462200,completion_astar,finish_first,r01,r01,True,main,member,local,1,1,-0.18,-0.31177,0.0,0.0,0.0,0,0,-2,359,0,0,0000,---,False,0.0,0.0,0.0,0.0,-0.1033,-0.30494,path_to_final_target,e,"$0,0,0,0,0,0,0,0,0#",0,0,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.0,0.0,0,0,0,3.59398,0.12753,12.0,0.01466,0.00022,11.9853,0.0147,0.0147,0.01198,0,0.1274,0,0,0.27139,0.088,0.0733,0.0733,1,False,running
b326998ea4,formation_6_dynamic_popup,1,0.2,1784462200,completion_astar,finish_first,r02,r02,True,main,member,local,1,1,0.20197,-0.31055,0.05547,0.11,0.27737,231,348,-5,321,0,0,0000,---,False,0.31007,0.03082,0.11,0.27737,0.25662,-0.30415,path_to_final_target,a,"$3,0,0,0,0,0,0,0,0#",5000,7000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.022,0.06991,0,0,0,3.21202,0.13698,11.97803,0.01466,0.00022,11.9853,0.0147,0.0147,0.01198,0,0.1274,0,0,0.27139,0.088,0.0733,0.0733,1,False,running
b326998ea4,formation_6_dynamic_popup,1,0.2,1784462200,completion_astar,finish_first,r03,r03,True,main,member,local,1,1,0.382,6e-05,0.00284,0.11,0.01422,286,292,-8,304,0,0,0000,---,False,0.3116,0.00158,0.11,0.01422,0.437,0.00039,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",6000,6000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.022,0.06718,0,0,0,3.03834,0.13698,11.978,0.01466,0.00022,11.9853,0.0147,0.0147,0.01198,0,0.1274,0,0,0.27139,0.088,0.0733,0.0733,1,False,running
b326998ea4,formation_6_dynamic_popup,1,0.2,1784462200,completion_astar,finish_first,r04,r04,True,main,member,local,1,1,0.202,0.31177,0.0,0.11,0.0,289,289,-12,325,0,0,0000,---,False,0.3116,0.0,0.11,0.0,0.257,0.31177,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",6000,6000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.022,0.06704,0,0,0,3.25116,0.13791,11.978,0.01466,0.00022,11.9853,0.0147,0.0147,0.01198,0,0.1274,0,0,0.27139,0.088,0.0733,0.0733,1,False,running
