time_s,robot_id,robot_name,key,protocol,pwm_left,pwm_right,sonic_angle_deg,sonic_distance_cm,reason
0.0,r01,r01,e,"$0,0,0,0,0,0,0,0,0#",0,0,-2,359,init
0.0,r02,r02,e,"$0,0,0,0,0,0,0,0,0#",0,0,-2,323,init
0.0,r03,r03,e,"$0,0,0,0,0,0,0,0,0#",0,0,-7,306,init
0.0,r04,r04,e,"$0,0,0,0,0,0,0,0,0#",0,0,-12,327,init
0.0,r05,r05,e,"$0,0,0,0,0,0,0,0,0#",0,0,-11,363,init
0.0,r06,r06,e,"$0,0,0,0,0,0,0,0,0#",0,0,-6,378,init
0.2,r01,r01,e,"$0,0,0,0,0,0,0,0,0#",0,0,-2,359,path_to_final_target
0.2,r02,r02,a,"$3,0,0,0,0,0,0,0,0#",5000,7000,-5,321,path_to_final_target
0.2,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",6000,6000,-8,304,path_to_final_target
0.2,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",6000,6000,-12,325,path_to_final_target
0.2,r05,r05,e,"$0,0,0,0,0,0,0,0,0#",0,0,-11,363,path_to_final_target
0.2,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",6000,6000,-6,376,path_to_final_target
0.4,r01,r01,a,"$3,0,0,0,0,0,0,0,0#",5000,7000,-5,357,cached_path_to_final_target
0.4,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",11000,12000,-7,317,cached_path_to_final_target
0.4,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,-8,299,cached_path_to_final_target
0.4,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,-12,321,cached_path_to_final_target
0.4,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",6000,6000,-11,361,cached_path_to_final_target
0.4,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,-6,371,cached_path_to_final_target
0.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",11000,12000,-6,353,cached_path_to_final_target
0.6,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,-8,311,cached_path_to_final_target
