time_s,robot_id,robot_name,key,protocol,pwm_left,pwm_right,sonic_angle_deg,sonic_distance_cm,reason
0.0,r01,r01,e,"$0,0,0,0,0,0,0,0,0#",0,0,7,369,init
0.0,r02,r02,e,"$0,0,0,0,0,0,0,0,0#",0,0,2,387,init
0.0,r03,r03,e,"$0,0,0,0,0,0,0,0,0#",0,0,3,349,init
0.0,r04,r04,e,"$0,0,0,0,0,0,0,0,0#",0,0,-2,406,init
0.0,r05,r05,e,"$0,0,0,0,0,0,0,0,0#",0,0,-2,368,init
0.0,r06,r06,e,"$0,0,0,0,0,0,0,0,0#",0,0,-2,330,init
0.0,r07,r07,e,"$0,0,0,0,0,0,0,0,0#",0,0,0,-1,init
0.2,r01,r01,d,"$4,0,0,0,0,0,0,0,0#",7000,5000,10,367,adaptive_split_to_bypass_target
0.2,r02,r02,e,"$0,0,0,0,0,0,0,0,0#",0,0,2,387,adaptive_split_to_bypass_target
0.2,r03,r03,d,"$4,0,0,0,0,0,0,0,0#",7000,5000,6,347,adaptive_split_to_bypass_target
0.2,r04,r04,e,"$0,0,0,0,0,0,0,0,0#",0,0,-2,406,adaptive_split_to_bypass_target
0.2,r05,r05,e,"$0,0,0,0,0,0,0,0,0#",0,0,-2,368,adaptive_split_to_bypass_target
0.2,r06,r06,a,"$3,0,0,0,0,0,0,0,0#",4000,7000,-6,328,adaptive_split_to_bypass_target
0.2,r07,r07,a,"$3,0,0,0,0,0,0,0,0#",5000,7000,0,-1,adaptive_split_to_bypass_target
0.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",12000,11000,11,362,cached_adaptive_split
0.4,r02,r02,d,"$4,0,0,0,0,0,0,0,0#",7000,5000,6,385,adaptive_split_to_bypass_target
0.4,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",12000,11000,8,343,adaptive_split_to_bypass_target
0.4,r04,r04,e,"$0,0,0,0,0,0,0,0,0#",0,0,-2,406,cached_adaptive_split
0.4,r05,r05,a,"$3,0,0,0,0,0,0,0,0#",5000,7000,-5,366,cached_adaptive_split
0.4,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",11000,12000,-8,324,cached_adaptive_split
0.4,r07,r07,w,"$1,0,0,0,0,0,0,0,0#",11000,12000,0,-1,cached_adaptive_split
0.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",17000,16000,12,356,cached_adaptive_split
0.6,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",12000,11000,8,381,cached_adaptive_split
0.6,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",17000,16000,10,336,cached_adaptive_split
0.6,r04,r04,d,"$4,0,0,0,0,0,0,0,0#",8000,4000,3,404,cached_adaptive_split
0.6,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",11000,12000,-7,362,cached_adaptive_split
0.6,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,-9,317,cached_adaptive_split
0.6,r07,r07,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,0,-1,cached_adaptive_split
0.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,13,350,cached_adaptive_split
0.8,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",17000,16000,8,374,cached_adaptive_split
0.8,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",17000,16000,11,330,cached_adaptive_split
