time_s,robot_id,robot_name,key,protocol,pwm_left,pwm_right,sonic_angle_deg,sonic_distance_cm,reason
0.0,r01,tank01,e,"$0,0,0,0,0,0,0,0,0#",0,0,0,-1,init
0.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",4000,4000,0,-1,path_to_final_target
0.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",5000,5000,0,-1,cached_path_to_final_target
0.6,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",7000,7000,0,-1,path_to_final_target
0.8,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",10000,10000,0,-1,cached_path_to_final_target
1.0,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,0,-1,path_to_final_target
1.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",14000,14000,0,-1,cached_path_to_final_target
1.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
1.6,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.8,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
2.0,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
2.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
2.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
2.6,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
2.8,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
3.0,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
3.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
3.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
3.6,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
3.8,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
4.0,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
4.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",19000,19000,0,-1,path_to_final_target
4.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",20000,20000,0,-1,cached_path_to_final_target
4.6,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",20000,20000,0,-1,path_to_final_target
4.8,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",20000,20000,0,-1,cached_path_to_final_target
5.0,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",20000,20000,0,-1,path_to_final_target
5.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",18000,18000,0,-1,cached_path_to_final_target
5.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
