time_s,robot_id,robot_name,key,protocol,pwm_left,pwm_right,sonic_angle_deg,sonic_distance_cm,reason
0.0,r01,tank01,e,"$0,0,0,0,0,0,0,0,0#",0,0,0,175,init
0.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",4000,4000,0,172,fallback_staging_point
0.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",5000,5000,0,168,fallback_staging_point
0.6,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",7000,7000,0,161,fallback_staging_point
0.8,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",10000,10000,0,152,fallback_staging_point
1.0,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,0,141,fallback_staging_point
1.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",14000,14000,0,128,fallback_staging_point
1.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,112,fallback_staging_point
1.6,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,97,fallback_staging_point
1.8,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,81,fallback_staging_point
2.0,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,66,fallback_staging_point
2.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,51,fallback_staging_point
2.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",14000,14000,0,37,fallback_staging_point
2.6,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,0,27,fallback_staging_point
2.8,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",9000,9000,0,18,fallback_staging_point
3.0,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",7000,7000,0,11,fallback_staging_point
3.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",4000,4000,0,7,fallback_staging_point
3.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",4000,4000,0,5,fallback_staging_point
3.6,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",4000,4000,0,1,fallback_staging_point
3.8,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",7000,7000,0,0,fallback_staging_point
4.0,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",9000,9000,0,0,fallback_staging_point
4.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,0,0,fallback_staging_point
4.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",14000,14000,180,0,fallback_staging_point
4.6,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",17000,16000,-180,0,path_to_final_target
4.8,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-179,14,cached_path_to_final_target
5.0,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-180,30,path_to_final_target
5.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",19000,19000,180,47,cached_path_to_final_target
5.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",20000,20000,179,66,path_to_final_target
5.6,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",20000,20000,179,85,cached_path_to_final_target
5.8,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",20000,20000,179,104,path_to_final_target
6.0,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",20000,20000,179,123,cached_path_to_final_target
6.2,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",19000,19000,179,141,path_to_final_target
6.4,r01,tank01,w,"$1,0,0,0,0,0,0,0,0#",17000,17000,179,157,cached_path_to_final_target
