mission_id,mission_name,step,time_s,ts_ms,algorithm,completion_policy,robot_id,robot_name,powered,cluster_id,role,perception_mode,visible_obstacle_count,known_obstacle_count,primary_x_m,primary_y_m,primary_theta_rad,primary_v_mps,primary_omega_radps,primary_pwr_left,primary_pwr_right,primary_sonic_angle_deg,primary_sonic_distance_cm,primary_camera_pan_deg,primary_camera_tilt_deg,primary_tracking_bits,primary_led,primary_buz,control_cmd_vx_mps,control_cmd_vy_mps,control_cmd_v_mps,control_cmd_omega_radps,control_target_x_m,control_target_y_m,control_reason,tank_key_command,tank_protocol_command,tank_pwm_left,tank_pwm_right,tank_command_note,agent_path_length_m,agent_energy_proxy,agent_collision_events,agent_near_miss_events,agent_lane_violations,agent_min_obstacle_clearance_m,agent_min_robot_clearance_m,agent_goal_distance_m,group_centroid_x_m,group_centroid_y_m,group_centroid_to_goal_m,group_centroid_path_m,group_effective_centroid_length_m,group_formation_rms_m,group_formation_bad_pairs,group_min_clearance_m,group_collision_steps,group_lane_violations,group_total_energy_proxy,group_sum_agent_path_m,group_mean_instant_speed_mps,group_average_speed_mps,group_active_cluster_count,done,finish_reason
27e9d37d02,single_clear_12m,0,0.0,1784462000,completion_astar,finish_first,r01,r01,True,main,member,global_debug,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,0,0,0000,---,False,0.0,0.0,0.0,0.0,12.0,0.0,init,e,"$0,0,0,0,0,0,0,0,0#",0,0,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.0,0.0,0,0,0,999.0,999.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0,999.0,0,0,0.0,0.0,0.0,0.0,1,False,running
27e9d37d02,single_clear_12m,1,0.2,1784462200,completion_astar,finish_first,r01,r01,True,main,member,global_debug,0,0,0.022,0.0,0.0,0.11,0.0,289,289,0,-1,0,0,0000,---,False,0.3116,0.0,0.11,0.0,0.077,0.0,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",6000,6000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.022,0.06704,0,0,0,999.0,999.0,11.978,0.022,0.0,11.978,0.022,0.022,0.0,0,999.0,0,0,0.06704,0.022,0.11,0.11,1,False,running
27e9d37d02,single_clear_12m,2,0.4,1784462400,completion_astar,finish_first,r01,r01,True,center,member,global_debug,0,0,0.066,0.0,0.0,0.22,0.0,579,579,0,-1,0,0,0000,---,False,0.3116,0.0,0.22,0.0,0.154,0.0,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.066,0.19252,0,0,0,999.0,999.0,11.934,0.066,0.0,11.934,0.066,0.066,0.0,0,999.0,0,0,0.19252,0.066,0.22,0.165,1,False,running
27e9d37d02,single_clear_12m,3,0.6,1784462600,completion_astar,finish_first,r01,r01,True,center,member,global_debug,0,0,0.12832,0.0,0.0,0.3116,0.0,820,820,0,-1,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,0.231,0.0,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.12832,0.36509,0,0,0,999.0,999.0,11.87168,0.12832,0.0,11.8717,0.1283,0.1283,0.0,0,999.0,0,0,0.36509,0.12832,0.3116,0.2139,1,False,running
27e9d37d02,single_clear_12m,4,0.8,1784462800,completion_astar,finish_first,r01,r01,True,center,member,global_debug,0,0,0.19064,0.0,0.0,0.3116,0.0,820,820,0,-1,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,0.308,0.0,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.19064,0.53034,0,0,0,999.0,999.0,11.80936,0.19064,0.0,11.8094,0.1906,0.1906,0.0,0,999.0,0,0,0.53034,0.19064,0.3116,0.2383,1,False,running
27e9d37d02,single_clear_12m,5,1.0,1784463000,completion_astar,finish_first,r01,r01,True,center,member,global_debug,0,0,0.25296,0.0,0.0,0.3116,0.0,820,820,0,-1,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,0.385,0.0,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.25296,0.69559,0,0,0,999.0,999.0,11.74704,0.25296,0.0,11.747,0.253,0.253,0.0,0,999.0,0,0,0.69559,0.25296,0.3116,0.253,1,False,running
27e9d37d02,single_clear_12m,6,1.2,1784463200,completion_astar,finish_first,r01,r01,True,center,member,global_debug,0,0,0.31528,0.0,0.0,0.3116,0.0,820,820,0,-1,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,0.462,0.0,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.31528,0.86083,0,0,0,999.0,999.0,11.68472,0.31528,0.0,11.6847,0.3153,0.3153,0.0,0,999.0,0,0,0.86083,0.31528,0.3116,0.2627,1,False,running
27e9d37d02,single_clear_12m,7,1.4,1784463400,completion_astar,finish_first,r01,r01,True,center,member,global_debug,0,0,0.3776,0.0,0.0,0.3116,0.0,820,820,0,-1,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,0.539,0.0,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.3776,1.02608,0,0,0,999.0,999.0,11.6224,0.3776,0.0,11.6224,0.3776,0.3776,0.0,0,999.0,0,0,1.02608,0.3776,0.3116,0.2697,1,False,running
27e9d37d02,single_clear_12m,8,1.6,1784463600,completion_astar,finish_first,r01,r01,True,center,member,global_debug,0,0,0.43992,0.0,0.0,0.3116,0.0,820,820,0,-1,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,0.616,0.0,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.43992,1.19133,0,0,0,999.0,999.0,11.56008,0.43992,0.0,11.5601,0.4399,0.4399,0.0,0,999.0,0,0,1.19133,0.43992,0.3116,0.2749,1,False,running
27e9d37d02,single_clear_12m,9,1.8,1784463800,completion_astar,finish_first,r01,r01,True,center,member,global_debug,0,0,0.50224,0.0,0.0,0.3116,0.0,820,820,0,-1,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,0.693,0.0,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.50224,1.35657,0,0,0,999.0,999.0,11.49776,0.50224,0.0,11.4978,0.5022,0.5022,0.0,0,999.0,0,0,1.35657,0.50224,0.3116,0.279,1,False,running
