time_s,robot_id,robot_name,key,protocol,pwm_left,pwm_right,sonic_angle_deg,sonic_distance_cm,reason
0.0,r01,r01,e,"$0,0,0,0,0,0,0,0,0#",0,0,0,-1,init
0.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",6000,6000,0,-1,path_to_final_target
0.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,0,-1,cached_path_to_final_target
0.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
0.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
1.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
1.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
2.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
2.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
2.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
2.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
2.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
3.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
3.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
3.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
3.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
3.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
4.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
4.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
4.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
4.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
4.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
5.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
5.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
5.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
5.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
5.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
6.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
6.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
6.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
6.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
6.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
7.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
7.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
7.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
7.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
7.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
8.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
8.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
8.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
8.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
8.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
9.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
9.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
9.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
9.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
9.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
10.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
10.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
10.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
10.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
10.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
11.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
11.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
11.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
11.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
11.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
12.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
12.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
12.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
12.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
12.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,cached_path_to_final_target
13.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,0,-1,path_to_final_target
