time_s,robot_id,robot_name,key,protocol,pwm_left,pwm_right,sonic_angle_deg,sonic_distance_cm,reason
0.0,r01,r01,e,"$0,0,0,0,0,0,0,0,0#",0,0,0,281,init
0.2,r01,r01,d,"$4,0,0,0,0,0,0,0,0#",8000,4000,5,279,path_to_final_target
0.4,r01,r01,d,"$4,0,0,0,0,0,0,0,0#",13000,11000,8,275,cached_path_to_final_target
0.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",17000,16000,10,269,cached_path_to_final_target
0.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",17000,16000,11,263,cached_path_to_final_target
1.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,11,256,path_to_final_target
1.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,11,250,cached_path_to_final_target
1.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,11,244,cached_path_to_final_target
1.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,11,238,cached_path_to_final_target
1.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,12,232,path_to_final_target
2.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,12,226,cached_path_to_final_target
2.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,12,220,cached_path_to_final_target
2.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,12,213,cached_path_to_final_target
2.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,13,207,path_to_final_target
2.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,13,201,cached_path_to_final_target
3.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,13,195,cached_path_to_final_target
3.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,14,189,cached_path_to_final_target
3.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,14,183,path_to_final_target
3.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,14,177,cached_path_to_final_target
3.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,15,170,cached_path_to_final_target
4.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,15,164,cached_path_to_final_target
4.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,16,158,path_to_final_target
4.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,16,152,cached_path_to_final_target
4.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,17,146,cached_path_to_final_target
4.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,17,140,cached_path_to_final_target
5.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,18,134,path_to_final_target
5.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,19,127,cached_path_to_final_target
5.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,19,121,cached_path_to_final_target
5.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,20,115,cached_path_to_final_target
