ts,t_s,cmd,pwr_left,pwr_right,x_m,y_m,theta_rad,segment
1784462000,0.0,w,789,789,0.0585,-0.0096,-0.1626,0
1784462200,0.2,w,789,789,0.117,-0.0192,-0.1626,0
1784462400,0.4,w,789,789,0.1755,-0.0288,-0.1626,0
1784462600,0.6,w,789,789,0.234,-0.0384,-0.1626,0
1784462800,0.8,w,789,789,0.2924,-0.048,-0.1626,0
1784463000,1.0,w,789,789,0.3509,-0.0576,-0.1626,0
1784463200,1.2,w,789,789,0.4094,-0.0672,-0.1626,0
1784463400,1.4,w,789,789,0.4679,-0.0768,-0.1626,0
1784463600,1.6,w,789,789,0.5264,-0.0864,-0.1626,0
1784463800,1.8,w,789,789,0.5849,-0.096,-0.1626,0
1784464000,2.0,w,789,789,0.6434,-0.1056,-0.1626,0
1784464200,2.2,w,789,789,0.7019,-0.1152,-0.1626,0
1784464400,2.4,w,789,789,0.7604,-0.1247,-0.1626,0
1784464600,2.6,w,789,789,0.8188,-0.1343,-0.1626,0
1784464800,2.8,w,789,789,0.8773,-0.1439,-0.1626,0
1784465000,3.0,w,789,789,0.9358,-0.1535,-0.1626,0
1784465200,3.2,w,789,789,0.9943,-0.1631,-0.1626,0
1784465400,3.4,w,789,789,1.0528,-0.1727,-0.1626,0
1784465600,3.6,w,789,789,1.1113,-0.1823,-0.1626,0
1784465800,3.8,w,789,789,1.1698,-0.1919,-0.1626,0
1784466000,4.0,w,789,789,1.2283,-0.2015,-0.1626,0
1784466200,4.2,w,789,789,1.2868,-0.2111,-0.1626,0
1784466400,4.4,w,789,789,1.3452,-0.2207,-0.1626,0
1784466600,4.6,w,789,789,1.4037,-0.2303,-0.1626,0
1784466800,4.8,w,789,789,1.4622,-0.2399,-0.1626,0
1784467000,5.0,w,789,789,1.5207,-0.2495,-0.1626,0
1784467200,5.2,w,789,789,1.5792,-0.2591,-0.1626,0
1784467400,5.4,w,789,789,1.6377,-0.2687,-0.1626,0
1784467600,5.6,w,789,789,1.6962,-0.2783,-0.1626,0
1784467800,5.8,w,789,789,1.7547,-0.2879,-0.1626,0
1784468000,6.0,w,789,789,1.8132,-0.2975,-0.1626,0
1784468200,6.2,w,789,789,1.8716,-0.3071,-0.1626,0
1784468400,6.4,w,789,789,1.9301,-0.3167,-0.1626,0
1784468600,6.6,w,789,789,1.9886,-0.3263,-0.1626,0
1784468800,6.8,w,789,789,2.0471,-0.3359,-0.1626,0
1784469000,7.0,w,789,789,2.1056,-0.3455,-0.1626,0
1784469200,7.2,w,789,789,2.1641,-0.3551,-0.1626,0
1784469400,7.4,w,789,789,2.2226,-0.3647,-0.1626,0
1784469600,7.6,w,789,789,2.2811,-0.3742,-0.1626,0
1784469800,7.8,w,789,789,2.3396,-0.3838,-0.1626,0
1784470000,8.0,w,789,789,2.398,-0.3934,-0.1626,0
1784470200,8.2,w,789,789,2.4565,-0.403,-0.1626,0
1784470400,8.4,w,789,789,2.515,-0.4126,-0.1626,0
1784470600,8.6,w,789,789,2.5735,-0.4222,-0.1626,0
1784470800,8.8,w,789,789,2.632,-0.4318,-0.1626,0
